時間,設備,值
2024-10-26 15:24:18,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:20,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:20,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:21,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:22,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:23,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:24,SA-01/TEMPERATURE,26.11
2024-10-26 15:24:25,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:26,SA-01/TEMPERATURE,26.11
2024-10-26 15:24:27,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:29,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:29,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:31,SA-01/TEMPERATURE,26.11
2024-10-26 15:24:31,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:32,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:33,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:34,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:35,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:36,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:37,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:38,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:39,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:40,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:41,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:42,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:42,SA-01/LED_LEVEL,5
2024-10-26 15:24:43,SA-01/LED_LEVEL,4
2024-10-26 15:24:43,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:48,SA-01/LED_LEVEL,3
2024-10-26 15:24:48,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:49,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:50,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:51,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:52,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:53,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:54,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:55,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:56,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:57,SA-01/TEMPERATURE,33.6
2024-10-26 15:24:58,SA-01/TEMPERATURE,26.58
2024-10-26 15:24:59,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:00,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:01,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:02,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:03,SA-01/TEMPERATURE,34.07
2024-10-26 15:25:04,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:05,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:06,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:07,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:08,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:09,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:11,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:11,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:13,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:13,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:14,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:15,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:16,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:17,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:18,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:19,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:20,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:21,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:22,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:23,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:24,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:25,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:26,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:27,SA-01/TEMPERATURE,34.07
2024-10-26 15:25:28,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:29,SA-01/TEMPERATURE,33.6
